Security,Block,Winner,Future_Return,Event_Type,Avg_Price,Median_Price,Avg_Volume,Median_Volume,Price_Volatility
SCAL,7,False,0.0,ACQ,0.00052615,1e-04,267.48,0.0,0.8684021
SCAL,13,True,9900.0,ACQ,2.1250002e-05,1e-05,546.645,0.0,1.4042066
SCAL,15,False,-50.0,ACQ,0.00011574999,1e-04,666.645,0.0,0.7619425
SCAL,18,False,-99.0,ACQ,0.00048599995,0.0002,1385.0,0.0,3.4518116
SCAL,24,True,1600.0,ACQ,0.00021149998,1e-04,1890.89,0.0,3.5499947
SCAL,25,True,22.222223,ACQ,0.00073550007,1e-04,3535.16,0.0,2.1955335
SCAL,28,True,55.737705,ACQ,0.0103705,0.003,10858.06,0.0,1.3170918
SCAL,34,False,-68.25397,ACQ,0.017994,0.0189,7366.715,0.0,0.49773696
SCAXF,15,False,-42.828686,DROP,0.036321,0.022,90.785,0.0,0.51849985
SCAXF,17,False,0.0,DROP,0.048315495,0.0476,125.785,0.0,0.27225494
SCAXF,32,False,-71.27937,DROP,0.039706994,0.0287,1681.0,0.0,0.36580342
SCAXF,33,True,25.954195,DROP,0.041940004,0.0383,2021.81,0.0,0.3233497
SCAXF,14,False,-56.382977,ACQ,0.029746002,0.022,17.0,0.0,0.504957
SCAXF,16,False,-39.705883,ACQ,0.042954996,0.0476,115.785,0.0,0.40105423
SCAXF,31,False,-50.0,ACQ,0.034024496,0.0287,1291.0,0.0,0.3620304
SCBFF,9,True,10.702701,DROP,8.759649,8.565001,3627.0,1800.0,0.073052734
SCBFF,10,False,-15.250964,DROP,9.2295,9.27,3760.5,1650.0,0.08861357
SCBFF,12,False,-27.681988,DROP,9.84195,9.875,3685.0,1200.0,0.047171436
SCBFF,13,False,-25.674421,DROP,10.3168,10.15,8473.0,1650.0,0.062129024
SCBFF,14,False,-17.38281,DROP,10.36775,10.2,8414.5,1650.0,0.057023767
SCBFF,21,False,-42.14876,DROP,8.299749,8.29,10338.5,1500.0,0.060534682
SCBFF,8,True,16.09071,ACQ,8.39005,8.245,5158.0,2450.0,0.07918303
SCBFF,11,False,-25.648706,ACQ,9.6842,9.77,3363.5,1300.0,0.056709494
SCBFF,20,False,-35.5414,ACQ,8.1717005,8.15,13650.0,2000.0,0.07479335
SCBFY,23,True,8.78951,DROP,16.58124,15.649,90698.5,138200.0,0.08083338
SCBFY,24,True,41.413155,DROP,15.243125,15.649,64342.0,17500.0,0.2059261
SCBFY,21,False,-41.12426,ACQ,15.652021,15.649,158486.0,161700.0,0.0013540137
SCBFY,22,False,-33.209156,ACQ,16.21542,15.649,122459.5,161700.0,0.064529695
SCBGF,28,True,2.707656,DROP,22.518179,22.05,8743.5,9400.0,0.044003062
SCBGF,30,False,-8.872649,DROP,24.433054,24.287498,4458.0,750.0,0.090022825
SCBGF,31,False,-21.96011,DROP,26.24066,26.125,1422.5,600.0,0.0995753
SCBGF,33,False,-0.5361883,DROP,26.970339,27.288,2016.0,700.0,0.09225644
SCBGF,27,True,17.1371,ACQ,22.072876,22.05,10878.5,9400.0,0.0060681268
SCBGF,29,False,-23.334639,ACQ,23.090454,22.0625,6580.5,1500.0,0.062213656
