Security,Block_ID,Cluster_ID,Cluster_Size,Num_Top_Performers_During,Pct_Top_Performers_During,Num_Top_Performers_After,Pct_Top_Performers_After,Stock_Return_During,Stock_Return_After
AAMTF,9,12,266,10,3.7593984962406015,10,3.7593984962406015,149.4096798058421,28.86363608654866
AAN,0,61,8301,35,0.4216359474762077,43,0.5180098783279123,,
AAN,1,3,8267,55,0.6652957542034595,80,0.967702915205032,,
AAN,2,46,8073,47,0.5821875387092779,67,0.8299269168834386,,
AAN,3,50,7854,37,0.4710975299210593,78,0.9931245225362872,,
AAN,4,13,7711,37,0.4798340033718065,78,1.0115419530540786,,
AAN,5,42,7466,30,0.4018215912135012,60,0.8036431824270024,,
AAN,6,45,7073,32,0.4524247136999859,77,1.088646967340591,,
AAN,7,68,6777,34,0.5016969160395455,93,1.3722886232846392,,
AAN,8,38,6519,26,0.3988341770210155,87,1.3345605154164748,,
AAN,9,35,6235,22,0.3528468323977546,90,1.4434643143544506,,
AANNF,0,61,8301,35,0.4216359474762077,43,0.5180098783279123,,
AANNF,1,3,8267,55,0.6652957542034595,80,0.967702915205032,,
AANNF,2,46,8073,47,0.5821875387092779,67,0.8299269168834386,,
AANNF,3,50,7854,37,0.4710975299210593,78,0.9931245225362872,,
AANNF,4,13,7711,37,0.4798340033718065,78,1.0115419530540786,,
AANNF,5,42,7466,30,0.4018215912135012,60,0.8036431824270024,,
AANNF,6,45,7073,32,0.4524247136999859,77,1.088646967340591,,
AANNF,7,68,6777,34,0.5016969160395455,93,1.3722886232846392,,
AANNF,8,38,6519,26,0.3988341770210155,87,1.3345605154164748,,
AANNF,9,35,6235,22,0.3528468323977546,90,1.4434643143544506,,
AAOI,0,43,89,8,8.98876404494382,7,7.865168539325842,-34.144551888478944,-32.34013832585939
AAOI,1,12,158,24,15.18987341772152,7,4.430379746835443,-34.144551888478944,-32.34013832585939
AAOI,2,12,244,16,6.557377049180328,43,17.62295081967213,-34.144551888478944,-32.34013832585939
AAOI,3,17,461,53,11.496746203904555,11,2.386117136659436,-34.144551888478944,-32.34013832585939
AAOI,4,56,143,16,11.188811188811188,13,9.090909090909092,-34.144551888478944,-32.34013832585939
AAOI,5,34,159,10,6.289308176100629,14,8.80503144654088,-34.144551888478944,-32.34013832585939
