security,block,model_proba,avg_price,avg_volume,position_size,binding_constraint,capital_cap,volume_cap,expected_return_pct,pnl,cumulative_equity
CENN,10,0.4465357754670204,170367.1035217183,32781.42309197652,28048766.51568382,capital,28048766.51568382,111697522.03000021,-96.9997787475586,-27207241.461632606,533768088.85204375
FMCKI,8,0.4464479456376365,4.675174397421518,29225.458496476116,2732.682306312606,volume,26688404.442602187,2732.682306312606,-22.1733455657959,-605.9270909940553,533767482.9249528
SIGA,8,0.4463559709435224,5.399049393467602,773266.1548412387,83498.04328569231,volume,26688374.14624764,83498.04328569231,-25.790563583374023,-21534.61594446964,533745948.30900836
ASRMF,8,0.44629949766752397,18.72006340168638,281.1439749608764,105.2606607253947,volume,26687297.41545042,105.2606607253947,21.79803466796875,22.9447553166545,533745971.2537637
ENRT,11,0.4459896864449189,0.03697163275522872,318764.1111981206,235.70459309527607,volume,26687298.562688187,235.70459309527607,-41.537208557128906,-97.90510841271688,533745873.3486552
TSAT,8,0.44598950157761175,32.11547880850183,90302.12990580848,58001.92278705142,volume,26687293.667432763,58001.92278705142,-65.41815185546875,-37943.78592792503,533707929.5627273
ADNT,8,0.44595474924737993,38.3394415055507,1198112.1083050023,918698.9818690333,volume,26685396.478136364,918698.9818690333,-27.99225425720215,-257164.55486310727,533450765.0078642
XCRT,9,0.44578045873227384,0.027268712262670143,423518.56380054966,230.97611708352994,volume,26672538.25039321,230.97611708352994,-66.15250396728516,-152.79648501716335,533450612.2113792
MINM,8,0.4457756700854429,34.27149157349337,191919.41709133674,131547.29371271015,volume,26672530.61056896,131547.29371271015,-88.73881530761719,-116733.51000989058,533333878.7013692
XBOTF,8,0.44566245362924223,0.24435268909844826,47299.85630153121,231.1569416249867,volume,26666693.935068462,231.1569416249867,-94.62777709960938,-218.73867547116657,533333659.96269375
CJJD,11,0.44516082040511457,288.63235142091895,12260.247063429913,70774.07877838385,volume,26666682.998134688,70774.07877838385,-31.927520751953125,-22596.408688972155,533311063.5540048
