Block_ID,Cluster_ID,Security,Cluster_Size
6,38,CLPXY,401
6,38,CLSK,401
6,38,CLW,401
6,38,CLWT,401
6,38,CMHZ,401
6,38,CMOPF,401
6,38,CMOT,401
6,38,CMT,401
6,38,COGNY,401
6,38,COKE,401
6,38,COLFF,401
6,38,CPSS,401
6,38,CRMD,401
6,38,CRUS,401
6,38,CSNVY,401
6,38,CTRRF,401
6,38,CXBMF,401
6,38,CYCC,401
6,38,CYLC,401
6,38,DAC,401
6,38,DAIO,401
6,38,DARE,401
6,38,DBRG,401
6,38,DGTW,401
6,38,DKDRF,401
6,38,DMCD,401
6,38,DNLMY,401
6,38,DPZUF,401
6,38,DRD,401
6,38,DRRSF,401
6,38,DRTTF,401
6,38,DTXMF,401
6,38,DUSYF,401
6,38,DUUO,401
6,38,DXYN,401
6,38,ECVT,401
6,38,EDAP,401
6,38,ELEEF,401
6,38,EMMA,401
6,38,EMRAF,401
6,38,ENB,401
6,38,ENDV,401
6,38,ENGGF,401
6,38,EPAC,401
6,38,EPGG,401
6,38,EQT,401
6,38,ESBA,401
6,38,ESHDF,401
6,38,ESPGY,401
6,38,ESRT,401
6,38,ESSA,401
6,38,ETTYF,401
6,38,EVOA,401
6,38,EVRI,401
6,38,EVSBY,401
6,38,EWLL,401
6,38,FDUS,401
6,38,FELE,401
6,38,FF,401
6,38,FFXXF,401
6,38,FISK,401
6,38,FJTSF,401
6,38,FJTSY,401
6,38,FKYS,401
6,38,FLIDF,401
6,38,FNV,401
6,38,FPAFF,401
6,38,FPAFY,401
6,38,FRHLF,401
6,38,FSOYF,401
6,38,FSP,401
6,38,GAME,401
6,38,GBLI,401
6,38,GBMID,401
6,38,GBMIF,401
6,38,GDLNF,401
6,38,GEOS,401
6,38,GETH,401
6,38,GEVO,401
6,38,GJH,401
6,38,GLAD,401
6,38,GLBKF,401
6,38,GLPI,401
6,38,GLRE,401
6,38,GLXZ,401
6,38,GM,401
6,38,GME,401
6,38,GNW,401
6,38,GRWG,401
6,38,GSBD,401
6,38,GSIH,401
6,38,GTHKF,401
6,38,GTLL,401
6,38,HASI,401
6,38,HAWLI,401
6,38,HCTPF,401
6,38,HERB,401
6,38,HIG,401
6,38,HIVE,401
6,38,HLNFF,401
6,38,HPIL,401
6,38,HRNNF,401
6,38,HRSR,401
6,38,HTLD,401
6,38,HVT,401
6,38,HVT-A,401
6,38,HXPLF,401
6,38,IDEXF,401
6,38,IDEXY,401
6,38,IESC,401
6,38,IFCZF,401
6,38,IGIFF,401
6,38,ILPT,401
6,38,IMBBF,401
6,38,IMBBY,401
6,38,IMO,401
6,38,IMPJY,401
6,38,IMPZY,401
6,38,IMTE,401
6,38,INGXF,401
6,38,INIS,401
6,38,INN,401
6,38,INVU,401
6,38,IPIC,401
6,38,IPLY,401
6,38,IPUB,401
6,38,IRNRF,401
6,38,ISCO,401
6,38,ISFFF,401
6,38,IVPAF,401
6,38,JAPAF,401
6,38,JAPAY,401
6,38,JHI,401
6,38,JHS,401
6,38,JNJ,401
6,38,JNSH,401
6,38,JSGRY,401
6,38,JXMNF,401
6,38,KAJMY,401
6,38,KHC,401
6,38,KKPNY,401
6,38,KN,401
6,38,KRIUF,401
6,38,KRO,401
6,38,KTN,401
6,38,KURRY,401
6,38,KYOCY,401
6,38,LCSHF,401
6,38,LCUT,401
6,38,LGDDF,401
6,38,LIDM,401
6,38,LLY,401
6,38,LMSC,401
6,38,LNNTF,401
6,38,LNVGF,401
6,38,LNVGY,401
6,38,LOGL,401
6,38,LRCDF,401
6,38,LTHO,401
6,38,MBOT,401
6,38,MCVT,401
6,38,MDKM,401
6,38,MET,401
6,38,MGAWY,401
6,38,MGPHF,401
6,38,MLSS,401
6,38,MMNT,401
6,38,MNDJF,401
6,38,MNMB,401
6,38,MODVF,401
6,38,MPVDF,401
6,38,MRCC,401
6,38,MRIN,401
6,38,MRRDF,401
6,38,MTSI,401
6,38,MXC,401
6,38,NAUH,401
6,38,NDEKF,401
6,38,NDEKY,401
6,38,NGD,401
6,38,NL,401
6,38,NMTAY,401
6,38,NNVC,401
6,38,NNWWF,401
6,38,NPKYY,401
6,38,NSYS,401
6,38,NURO,401
6,38,NX,401
6,38,NXPRF,401
6,38,OCX,401
6,38,ODP,401
6,38,OGCP,401
6,38,OLN,401
6,38,OLNCF,401
6,38,OMCL,401
6,38,OMID,401
6,38,ONVO,401
6,38,OPI,401
6,38,OROXF,401
6,38,OTLK,401
6,38,OUT,401
6,38,PAOTF,401
6,38,PCBN,401
6,38,PDCO,401
6,38,PDM,401
6,38,PEGRF,401
6,38,PEGRY,401
6,38,PEMIF,401
6,38,PERI,401
6,38,PFX,401
6,38,PGNT,401
6,38,PHCRF,401
6,38,PHT,401
6,38,PIAGF,401
6,38,PIUTQ,401
6,38,PK,401
6,38,PLSE,401
6,38,PLYFF,401
6,38,PPRQF,401
6,38,PPWLM,401
6,38,PREKF,401
6,38,PRMRF,401
6,38,PRXIQ,401
6,38,PTFRF,401
6,38,PTMN,401
6,38,PWCDF,401
